Episode 58, Total Reward: -123.7026648431893, Policy Loss: -157.7944793701172, Alpha Loss: 0.0002738685579970479
Episode 59, Total Reward: -146.2577495457969, Policy Loss: -147.49795532226562, Alpha Loss: 0.00023802020587027073
Episode 60, Total Reward: -95.82968071477708, Policy Loss: -149.52920532226562, Alpha Loss: 0.0002230099926237017
Episode 61, Total Reward: -30.02859639532437, Policy Loss: -155.44833374023438, Alpha Loss: 0.00021046273468527943
Episode 62, Total Reward: -181.0278307240256, Policy Loss: -156.3678436279297, Alpha Loss: 0.0001724318863125518
Episode 63, Total Reward: -41.96984568477459, Policy Loss: -151.4661102294922, Alpha Loss: 0.0001259542186744511
Episode 64, Total Reward: -78.72530304950183, Policy Loss: -138.9822998046875, Alpha Loss: 9.267497807741165e-05
Episode 65, Total Reward: -7.359972964645322, Policy Loss: -142.7772216796875, Alpha Loss: 6.78869619150646e-05
Episode 66, Total Reward: 34.59643317548711, Policy Loss: -137.602294921875, Alpha Loss: 4.993154652765952e-05
Episode 67, Total Reward: -59.72286458870486, Policy Loss: -125.24264526367188, Alpha Loss: 3.663992174551822e-05
Episode 68, Total Reward: -54.29619288707102, Policy Loss: -134.23995971679688, Alpha Loss: 3.248772554798052e-05
Episode 69, Total Reward: -14.857158366984969, Policy Loss: -120.96104431152344, Alpha Loss: 2.366201442782767e-05
Episode 70, Total Reward: -8.019469671027228, Policy Loss: -117.11001586914062, Alpha Loss: 1.7375910829287022e-05
Episode 71, Total Reward: 18.291672253815836, Policy Loss: -104.90618133544922, Alpha Loss: 1.2774909009749535e-05
Episode 72, Total Reward: 35.34353392241585, Policy Loss: -101.11669158935547, Alpha Loss: 9.39759502216475e-06
Episode 73, Total Reward: -72.13733929808133, Policy Loss: -94.74932861328125, Alpha Loss: 6.916920028743334e-06
Episode 74, Total Reward: 40.76581574769954, Policy Loss: -87.47804260253906, Alpha Loss: 5.069879989605397e-06
Episode 75, Total Reward: -34.92236546790494, Policy Loss: -83.26809692382812, Alpha Loss: 3.7266202070895815e-06
Episode 76, Total Reward: 41.063852770802725, Policy Loss: -81.03485107421875, Alpha Loss: 2.749717850747402e-06
Episode 77, Total Reward: -324.09018865251693, Policy Loss: -78.08235931396484, Alpha Loss: 2.0724762634927174e-06
Episode 78, Total Reward: -7.93527067621698, Policy Loss: -66.18487548828125, Alpha Loss: 1.5341832977355807e-06
Episode 79, Total Reward: -75.34351669198486, Policy Loss: -64.6524658203125, Alpha Loss: 1.1351054354236112e-06
Episode 80, Total Reward: 99.32892870081625, Policy Loss: -61.31117248535156, Alpha Loss: 8.628353498352226e-07
Episode 81, Total Reward: -50.722568485485404, Policy Loss: -56.971893310546875, Alpha Loss: 6.301011126197409e-07
Episode 82, Total Reward: -26.956316959175286, Policy Loss: -46.365379333496094, Alpha Loss: 4.630299486052536e-07
Episode 83, Total Reward: -9.437390587009617, Policy Loss: -53.40141296386719, Alpha Loss: 3.4080332511621236e-07
Episode 84, Total Reward: -19.35181751812608, Policy Loss: -43.68177032470703, Alpha Loss: 2.5115267021647014e-07
Episode 85, Total Reward: -37.4382523284966, Policy Loss: -42.27546691894531, Alpha Loss: 1.852957893788698e-07
Episode 86, Total Reward: 2.8861057932805947, Policy Loss: -40.19698715209961, Alpha Loss: 1.3687775890502962e-07
Episode 87, Total Reward: -39.24307133342092, Policy Loss: -36.759883880615234, Alpha Loss: 1.02183051353677e-07
Episode 88, Total Reward: -53.068819657455506, Policy Loss: -35.358604431152344, Alpha Loss: 7.583879124695159e-08
Episode 89, Total Reward: -69.60565679806612, Policy Loss: -30.234237670898438, Alpha Loss: 5.6733117759222296e-08
Episode 90, Total Reward: -66.64029746149545, Policy Loss: -27.81245994567871, Alpha Loss: 4.275925391539204e-08
Episode 91, Total Reward: 32.13021941390588, Policy Loss: -29.59505844116211, Alpha Loss: 3.2324670939942735e-08
Episode 92, Total Reward: -95.27083715243786, Policy Loss: -25.421396255493164, Alpha Loss: 2.489895756241367e-08
Episode 93, Total Reward: -10.093779511681422, Policy Loss: -22.756120681762695, Alpha Loss: 1.92853732983167e-08
